id_nodo; timestamp; temperatura; humedad; CO2; volatiles
nodoPrueba2;1748352440429;29.7;33.3;62;8
nodoPrueba2;1748352482029;25;50;45;15
nodoPrueba2;1748352717605;32;42;69;7
nodoPrueba2;1748353112322;33;25;55;10
nodoPrueba2;1748357411952;33;25;55;10
nodoPrueba2;1748357418615;33;25;55;10
nodoPrueba2;1748357628114;33;50;55;5
nodoPrueba2;1748357634055;33;50;55;5
nodoPrueba2;1748357948401;80;32;75;15
nodoPrueba2;1748357954086;80;32;75;15
nodoPrueba2;1748357999821;15;45;74;8
nodoPrueba2;1748358563611;15;45;74;8
nodoPrueba2;1748358569468;15;45;74;8
nodoPrueba2;1748358841748;10;36;84;12
nodoPrueba2;1748360247706;10;36;84;12
nodoPrueba2;1748360289899;20;81;36;0
nodoPrueba2;1748360578540;18;65;95;25
nodoPrueba2;1748360660568;25;85;95;45
nodoPrueba2;1748360680682;25;85;59;45
nodoPrueba2;1748361878921;25;85;59;45
nodoPrueba2;1748361880508;25;85;59;45
nodoPrueba2;1748361881260;25;85;59;45
nodoPrueba2;1748361898482;40;12;75;59
nodoPrueba2;1748362134154;60;12;75;59
